"monthly","name","cap_new_tests","cap_new_cases","cap_new_deaths"
"2021-03","Sao Tome and Principe",0.0749742230078067,0.0729120636323464,0.000294594196494329
"2021-04","Sao Tome and Principe",0.0273972602739726,0.0138508371385084,0
"2021-05","Sao Tome and Principe",0.0166445721019296,0.00648107232287524,0
"2021-06","Sao Tome and Principe",0.0091324200913242,0.00365296803652968,0.00091324200913242
"2021-07","Sao Tome and Principe",0.224038886433937,0.0103107968773015,0
"2021-08","Sao Tome and Principe",0.28988068935042,0.0219472676388275,0
"2021-09","Sao Tome and Principe",1.27488584474886,0.121004566210046,0.00228310502283105
"2021-10","Sao Tome and Principe",0.301075268817204,0.0484607453233171,0.00117837678597732
"2021-11","Sao Tome and Principe",0.135768645357686,0.0030441400304414,0
"2021-12","Sao Tome and Principe",0.0907350125202533,0.010752688172043,0
"2022-01","Sao Tome and Principe",0.785240830755634,0.304315804978642,0.00132567388422448
"2022-02","Sao Tome and Principe",0.350619699934768,0.00962165688193085,0
"2022-03","Sao Tome and Principe",0.245249668581529,0.00265134776844896,0
"2022-04","Sao Tome and Principe",0.32648401826484,0.00133181126331811,0
"2020-03","Saudi Arabia",0.243596126717859,0.00189898061443991,6.38312811576441e-06
"2020-04","Saudi Arabia",0.249899465732177,0.0168859271174432,0.000134045690431053
"2020-05","Saudi Arabia",0.332954669700918,0.0567439498755599,0.000275195184732875
"2020-06","Saudi Arabia",0.701530993278566,0.0943882729170257,0.00102257712414546
"2020-07","Saudi Arabia",1.53967072942476,0.0851965375442212,0.00118232005292643
"2020-08","Saudi Arabia",1.62780360885591,0.0391138529734979,0.000949747691418173
"2020-09","Saudi Arabia",1.37307405066927,0.0195199249344134,0.00083587062675935
"2020-10","Saudi Arabia",1.42448625599268,0.0118880613472148,0.00061525118741626
"2020-11","Saudi Arabia",1.52766224315888,0.0101003427739798,0.000488309300855978
"2020-12","Saudi Arabia",1.32056440030614,0.00530468832523809,0.000316891424843917
"2021-01","Saudi Arabia",1.1631638736363,0.00460233832514543,0.000160298878649116
"2021-02","Saudi Arabia",1.36587907984473,0.00930044563353002,0.000113870446208012
"2021-03","Saudi Arabia",1.35467748421566,0.0111106581149222,0.000161225461762695
