"quarterly","name","cap_new_tests","cap_new_cases","cap_new_deaths"
"2020-04","Austria",2.66522077069393,0.375742258783999,0.0062772161554133
"2021-01","Austria",23.0984923631159,0.224937695857083,0.00404174994448146
"2021-02","Austria",38.4839716135519,0.138792697420279,0.00176927225561469
"2021-03","Austria",38.6771246705095,0.105337987235563,0.000358456681053211
"2021-04","Austria",43.1660813081134,0.642251783834931,0.00325266247622358
"2022-01","Austria",64.5896501098033,3.05420090310164,0.00253781429664174
"2022-02","Austria",33.0516646309867,1.56184303057221,0.00704160189503294
"2020-02","Azerbaijan",0.507932914309283,0.0174786378430722,0.000211828313712129
"2020-03","Azerbaijan",0.683155229269673,0.0258032907798985,0.00041810143355189
"2020-04","Azerbaijan",1.14063431347745,0.188108123174826,0.00208300278305467
"2021-01","Azerbaijan",0.739068065007507,0.044558415798183,0.00104985150847662
